
S.No,Flight Number,Date,Origin,Destination,Aircraft,FlightTime,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,STD_mins,ATD_mins,STA_mins,ATA_mins,DepartureDelay,ArrivalDelay,ScheduledHour
,,2025-07-23,Mumbai (BOM),Muscat (MCT),B739 (A4O-BY),02:06:00,10:05:00,12:40:00,11:15:00,,Landed 1:16 PM,  , ,605,760,675,796.0,155,121.0,10
,,2025-07-21,Mumbai (BOM),Muscat (MCT),B739 (A4O-BT),02:04:00,10:05:00,12:17:00,11:15:00,,Landed 12:51 PM,  , ,605,737,675,771.0,132,96.0,10
,,2025-07-20,Mumbai (BOM),Muscat (MCT),B739 (A4O-BT),02:04:00,10:05:00,13:19:00,11:15:00,,Landed 1:53 PM,  , ,605,799,675,833.0,194,158.0,10
,,2025-07-19,Mumbai (BOM),Muscat (MCT),B738 (A4O-BAC),02:07:00,10:05:00,10:25:00,11:15:00,,Landed 11:02 AM,  , ,605,625,675,662.0,20,-13.0,10
,,2025-07-25,Mumbai (BOM),Singapore (SIN),A21N (VT-IMH),05:27:00,08:40:00,09:18:00,17:20:00,,Landed 5:15 PM,  , ,520,558,1040,1035.0,38,-5.0,8
,,2025-07-24,Mumbai (BOM),Singapore (SIN),A21N (VT-ILG),05:23:00,08:40:00,09:05:00,17:20:00,,Landed 4:59 PM,  , ,520,545,1040,1019.0,25,-21.0,8
,,2025-07-23,Mumbai (BOM),Singapore (SIN),A21N (VT-ILG),05:24:00,08:40:00,09:00:00,17:20:00,,Landed 4:54 PM,  , ,520,540,1040,1014.0,20,-26.0,8
,,2025-07-22,Mumbai (BOM),Singapore (SIN),A21N (VT-ILN),05:10:00,08:40:00,08:52:00,17:20:00,,Landed 4:32 PM,  , ,520,532,1040,992.0,12,-48.0,8
,,2025-07-21,Mumbai (BOM),Singapore (SIN),A21N (VT-ILX),05:25:00,08:40:00,10:22:00,17:20:00,,Landed 6:17 PM,  , ,520,622,1040,1097.0,102,57.0,8
,,2025-07-20,Mumbai (BOM),Singapore (SIN),A21N (VT-ILX),05:32:00,08:40:00,08:58:00,17:20:00,,Landed 5:00 PM,  , ,520,538,1040,1020.0,18,-20.0,8
,,2025-07-19,Mumbai (BOM),Singapore (SIN),A21N (VT-ILT),05:18:00,08:40:00,08:56:00,17:20:00,,Landed 4:44 PM,  , ,520,536,1040,1004.0,16,-36.0,8
,,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCL),01:18:00,08:45:00,09:05:00,10:45:00,,Landed 10:24 AM,  , ,525,545,645,624.0,20,-21.0,8
,,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCL),01:16:00,08:45:00,08:52:00,10:45:00,,Landed 10:08 AM,  , ,525,532,645,608.0,7,-37.0,8
,,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:19:00,08:45:00,08:58:00,10:45:00,,Landed 10:17 AM,  , ,525,538,645,617.0,13,-28.0,8
,,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:23:00,08:45:00,08:47:00,10:45:00,,Landed 10:10 AM,  , ,525,527,645,610.0,2,-35.0,8
,,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:13:00,08:45:00,09:28:00,10:45:00,,Landed 10:41 AM,  , ,525,568,645,641.0,43,-4.0,8
,,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWV),01:20:00,08:45:00,08:49:00,10:45:00,,Landed 10:10 AM,  , ,525,529,645,610.0,4,-35.0,8
,,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCD),01:20:00,08:45:00,08:53:00,10:45:00,,Landed 10:13 AM,  , ,525,533,645,613.0,8,-32.0,8
,,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-TNP),01:50:00,08:45:00,09:33:00,10:55:00,,Landed 11:23 AM,  , ,525,573,655,683.0,48,28.0,8
,,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TNX),01:40:00,08:45:00,08:55:00,10:55:00,,Landed 10:35 AM,  , ,525,535,655,635.0,10,-20.0,8
,,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TQK),01:54:00,08:45:00,09:04:00,10:55:00,,Landed 10:58 AM,  , ,525,544,655,658.0,19,3.0,8
,,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNE),02:07:00,08:45:00,09:07:00,10:55:00,,Landed 11:14 AM,  , ,525,547,655,674.0,22,19.0,8
,,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TQP),01:40:00,08:45:00,09:19:00,10:55:00,,Landed 10:58 AM,  , ,525,559,655,658.0,34,3.0,8
,,2025-07-20,Mumbai (BOM),Delhi (DEL),A20N (VT-TQV),01:42:00,08:45:00,08:55:00,10:55:00,,Landed 10:36 AM,  , ,525,535,655,636.0,10,-19.0,8
,,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-ATV),01:40:00,08:45:00,08:58:00,10:55:00,,Landed 10:39 AM,  , ,525,538,655,639.0,13,-16.0,8
,,2025-07-25,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IQG),01:10:00,08:50:00,09:21:00,10:20:00,,Landed 10:31 AM,  , ,530,561,620,631.0,31,11.0,8
,,2025-07-24,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IQK),01:12:00,08:50:00,08:58:00,10:20:00,,Landed 10:10 AM,  , ,530,538,620,610.0,8,-10.0,8
,,2025-07-23,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IIS),01:08:00,08:50:00,09:12:00,10:20:00,,Landed 10:19 AM,  , ,530,552,620,619.0,22,-1.0,8
,,2025-07-22,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IVB),01:03:00,08:50:00,08:54:00,10:20:00,,Landed 9:58 AM,  , ,530,534,620,598.0,4,-22.0,8
,,2025-07-21,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IIW),01:08:00,08:50:00,10:42:00,10:20:00,,Landed 11:49 AM,  , ,530,642,620,709.0,112,89.0,8
,,2025-07-20,Mumbai (BOM),Mangaluru (IXE),A20N (VT-ITR),01:05:00,08:50:00,09:09:00,10:20:00,,Landed 10:14 AM,  , ,530,549,620,614.0,19,-6.0,8
,,2025-07-19,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IJR),01:05:00,08:50:00,09:06:00,10:20:00,,Landed 10:11 AM,  , ,530,546,620,611.0,16,-9.0,8
,,2025-07-25,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IMB),01:56:00,08:55:00,09:43:00,11:20:00,,Landed 11:40 AM,  , ,535,583,680,700.0,48,20.0,8
,,2025-07-24,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRY),02:02:00,08:55:00,09:13:00,11:20:00,,Landed 11:15 AM,  , ,535,553,680,675.0,18,-5.0,8
,,2025-07-23,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRZ),01:57:00,08:55:00,09:09:00,11:20:00,,Landed 11:07 AM,  , ,535,549,680,667.0,14,-13.0,8
,,2025-07-22,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-ICY),01:59:00,08:55:00,09:20:00,11:20:00,,Landed 11:19 AM,  , ,535,560,680,679.0,25,-1.0,8
,,2025-07-21,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-ICL),02:03:00,08:55:00,10:32:00,11:20:00,,Landed 12:35 PM,  , ,535,632,680,755.0,97,75.0,8
,,2025-07-20,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IBD),01:58:00,08:55:00,09:03:00,11:20:00,,Landed 11:01 AM,  , ,535,543,680,661.0,8,-19.0,8
,,2025-07-19,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRV),01:57:00,08:55:00,09:04:00,11:20:00,,Landed 11:01 AM,  , ,535,544,680,661.0,9,-19.0,8
,,2025-07-25,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IFN),00:52:00,08:55:00,10:14:00,10:15:00,,Landed 11:06 AM,  , ,535,614,615,666.0,79,51.0,8
,,2025-07-24,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IQC),00:54:00,08:55:00,09:08:00,10:15:00,,Landed 10:02 AM,  , ,535,548,615,602.0,13,-13.0,8
,,2025-07-23,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIX),00:53:00,08:55:00,09:33:00,10:15:00,,Landed 10:25 AM,  , ,535,573,615,625.0,38,10.0,8
,,2025-07-22,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIL),00:51:00,08:55:00,09:46:00,10:15:00,,Landed 10:36 AM,  , ,535,586,615,636.0,51,21.0,8
,,2025-07-21,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IPW),01:02:00,08:55:00,10:20:00,10:15:00,,Landed 11:23 AM,  , ,535,620,615,683.0,85,68.0,8
,,2025-07-20,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIE),00:53:00,08:55:00,09:01:00,10:15:00,,Landed 9:54 AM,  , ,535,541,615,594.0,6,-21.0,8
,,2025-07-19,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IKP),00:53:00,08:55:00,09:10:00,10:15:00,,Landed 10:03 AM,  , ,535,550,615,603.0,15,-12.0,8
